Station Name,Address,Status,Waiting Time,Coordinates,Charging Type,Power Level (kW),Chargers per Site,Labor,Materials,Permit,Taxes,Total
"Thorntons #163 - Louisville, KY",3255 Bardstown Road,,Unknown,"38.20894843400049, -85.66873604835689",,150.0,6-20 chargers per site,"$7,560","$10,920",$53,$45,"$18,577"
"Thorntons #26 - Louisville, KY",14101 Shelbyville Road,,Unknown,"38.23924219818619, -85.48760433371751",,150.0,1 charger per site,"$20,160","$27,300",$210,$111,"$47,781"
"Thorntons #26 - Louisville, KY",14101 Shelbyville Road,,Unknown,"38.23924219818619, -85.48760433371751",,150.0,2 chargers per site,"$15,960","$21,840",$158,$89,"$38,047"
"Thorntons #26 - Louisville, KY",14101 Shelbyville Road,,Unknown,"38.23924219818619, -85.48760433371751",,150.0,3-5 chargers per site,"$11,760","$16,380",$105,$67,"$28,312"
"Thorntons #26 - Louisville, KY",14101 Shelbyville Road,,Unknown,"38.23924219818619, -85.48760433371751",,150.0,6-20 chargers per site,"$7,560","$10,920",$53,$45,"$18,577"
Belden Park Crossings,5496 Dressler Road,,Unknown,"40.8611490891324, -81.43317895040481",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
Belden Park Crossings,5496 Dressler Road,,Unknown,"40.8611490891324, -81.43317895040481",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
Belden Park Crossings,5496 Dressler Road,,Unknown,"40.8611490891324, -81.43317895040481",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
Belden Park Crossings,5496 Dressler Road,,Unknown,"40.8611490891324, -81.43317895040481",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
Cherry Creek Shopping Center,3000 E 1st Avenue,,Unknown,"39.71640509517829, -104.95042511447662",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
Cherry Creek Shopping Center,3000 E 1st Avenue,,Unknown,"39.71640509517829, -104.95042511447662",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
Cherry Creek Shopping Center,3000 E 1st Avenue,,Unknown,"39.71640509517829, -104.95042511447662",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
Cherry Creek Shopping Center,3000 E 1st Avenue,,Unknown,"39.71640509517829, -104.95042511447662",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
"Thortons #95 Louisville, KY",13314 Shelbyville Road,,Unknown,"38.24201366280781, -85.5092603527977",,150.0,1 charger per site,"$20,160","$27,300",$210,$111,"$47,781"
"Thortons #95 Louisville, KY",13314 Shelbyville Road,,Unknown,"38.24201366280781, -85.5092603527977",,150.0,2 chargers per site,"$15,960","$21,840",$158,$89,"$38,047"
"Thortons #95 Louisville, KY",13314 Shelbyville Road,,Unknown,"38.24201366280781, -85.5092603527977",,150.0,3-5 chargers per site,"$11,760","$16,380",$105,$67,"$28,312"
"Thortons #95 Louisville, KY",13314 Shelbyville Road,,Unknown,"38.24201366280781, -85.5092603527977",,150.0,6-20 chargers per site,"$7,560","$10,920",$53,$45,"$18,577"
"Thorntons #1 - New Albany, IN",2250 State Street,,Unknown,"38.30806632279362, -85.84205293957926",,150.0,1 charger per site,"$20,160","$27,300",$210,$111,"$47,781"
"Thorntons #1 - New Albany, IN",2250 State Street,,Unknown,"38.30806632279362, -85.84205293957926",,150.0,2 chargers per site,"$15,960","$21,840",$158,$89,"$38,047"
