Date,ZIP Code,Model Year,Fuel,Make,Duty,Vehicles,ZIP,latitude,longitude
12/31/2023,91607,2017,Battery Electric,OTHER/UNK,Light,18,91607,34.1663458,-118.399864
12/31/2023,90008,2015,Battery Electric,OTHER/UNK,Light,11,90008,34.010365,-118.3428122
12/31/2023,90291,2015,Battery Electric,OTHER/UNK,Light,12,90291,33.9932838,-118.4652299
12/31/2023,90036,2015,Battery Electric,OTHER/UNK,Light,13,90036,34.070178,-118.3497584
12/31/2023,90745,2017,Battery Electric,OTHER/UNK,Light,11,90745,33.8211807,-118.2646029
12/31/2023,90260,2015,Battery Electric,OTHER/UNK,Light,6,90260,33.8876659,-118.3495258
12/31/2023,91423,2015,Battery Electric,TESLA,Light,12,91423,34.1491873,-118.4323795
12/31/2023,91316,2018,Battery Electric,TESLA,Light,95,91316,34.1583267,-118.5165848
12/31/2023,90046,2018,Battery Electric,TESLA,Light,130,90046,34.1075914,-118.365712
12/31/2023,91745,2019,Battery Electric,OTHER/UNK,Light,31,91745,33.9992497,-117.9722519
12/31/2023,90211,2018,Battery Electric,OTHER/UNK,Light,6,90211,34.0649562,-118.3829813
12/31/2023,91754,2021,Battery Electric,OTHER/UNK,Light,32,91754,34.0509981,-118.1444993
12/31/2023,91008,2015,Battery Electric,OTHER/UNK,Light,3,91008,34.1536308,-117.9685428
12/31/2023,91733,2020,Battery Electric,OTHER/UNK,Light,7,91733,34.0454566,-118.0530828
12/31/2023,90604,2020,Battery Electric,OTHER/UNK,Light,20,90604,33.9300832,-118.0122315
12/31/2023,91604,2022,Battery Electric,TESLA,Light,334,91604,34.1398679,-118.3942729
12/31/2023,90039,2023,Battery Electric,OTHER/UNK,Light,106,90039,34.1124562,-118.261548
12/31/2023,90027,2015,Battery Electric,OTHER/UNK,Light,20,90027,34.1251712,-118.2904963
12/31/2023,90810,2016,Battery Electric,OTHER/UNK,Light,6,90810,33.8190582,-118.220959
12/31/2023,90402,2020,Battery Electric,TESLA,Light,58,90402,34.0349647,-118.5046657
12/31/2023,90241,2020,Battery Electric,TESLA,Light,43,90241,33.9407201,-118.1295825
12/31/2023,91108,2020,Battery Electric,TESLA,Light,71,91108,34.1223356,-118.1135671
12/31/2023,91801,2018,Battery Electric,TESLA,Light,66,91801,34.0909238,-118.127761
12/31/2023,91202,2020,Battery Electric,OTHER/UNK,Light,25,91202,34.1822514,-118.2675676
12/31/2023,90039,2018,Battery Electric,OTHER/UNK,Light,21,90039,34.1124562,-118.261548
12/31/2023,91601,2020,Battery Electric,TESLA,Light,51,91601,34.1682712,-118.3722557
12/31/2023,90020,2020,Battery Electric,TESLA,Light,35,90020,34.0663822,-118.3098315
12/31/2023,90028,2019,Battery Electric,OTHER/UNK,Light,14,90028,34.0998114,-118.3268365
12/31/2023,90255,2021,Battery Electric,OTHER/UNK,Light,16,90255,33.97697,-118.2172764
12/31/2023,91016,2017,Battery Electric,OTHER/UNK,Light,29,91016,34.1524939,-118.0006547
12/31/2023,90017,2021,Battery Electric,TESLA,Light,94,90017,34.0530983,-118.2645052
12/31/2023,90006,2021,Battery Electric,TESLA,Light,52,90006,34.0480942,-118.2940452
12/31/2023,90013,2022,Battery Electric,OTHER/UNK,Light,22,90013,34.0443117,-118.2400266
12/31/2023,90272,2022,Battery Electric,RIVIAN,Light,19,90272,34.0793554,-118.5444933
12/31/2023,90404,2022,Battery Electric,OTHER/UNK,Light,44,90404,34.0266494,-118.473835
12/31/2023,91780,2022,Battery Electric,OTHER/UNK,Light,50,91780,34.1015089,-118.0558587
12/31/2023,91436,2023,Battery Electric,OTHER/UNK,Light,128,91436,34.1521532,-118.4905353
12/31/2023,91602,2022,Battery Electric,OTHER/UNK,Light,65,91602,34.1508283,-118.3662569
12/31/2023,90062,2023,Battery Electric,OTHER/UNK,Light,41,90062,34.0034933,-118.3090927
12/31/2023,90026,2022,Battery Electric,OTHER/UNK,Light,68,90026,34.0788503,-118.2637062
12/31/2023,91436,2022,Battery Electric,OTHER/UNK,Light,84,91436,34.1521532,-118.4905353
12/31/2023,90808,2022,Battery Electric,OTHER/UNK,Light,70,90808,33.8240614,-118.1123209
12/31/2023,91601,2023,Battery Electric,TESLA,Light,224,91601,34.1682712,-118.3722557
12/31/2023,91205,2023,Battery Electric,TESLA,Light,163,91205,34.1367762,-118.2433999
12/31/2023,91423,2022,Battery Electric,TESLA,Light,272,91423,34.1491873,-118.4323795
12/31/2023,90254,2023,Battery Electric,TESLA,Light,239,90254,33.8648081,-118.3992715
12/31/2023,90242,2023,Battery Electric,TESLA,Light,163,90242,33.9220933,-118.1416696
12/31/2023,90007,2023,Battery Electric,TESLA,Light,79,90007,34.0281645,-118.2848289
12/31/2023,90032,2023,Battery Electric,TESLA,Light,151,90032,34.0793131,-118.1783356
12/31/2023,90723,2023,Battery Electric,TESLA,Light,83,90723,33.8976503,-118.1650961
12/31/2023,90063,2022,Battery Electric,TESLA,Light,40,90063,34.0452484,-118.1857803
12/31/2023,90404,2023,Battery Electric,OTHER/UNK,Light,87,90404,34.0266494,-118.473835
12/31/2023,90404,2012,Battery Electric,OTHER/UNK,Light,13,90404,34.0266494,-118.473835
12/31/2023,91403,2014,Battery Electric,OTHER/UNK,Light,10,91403,34.1472054,-118.4630822
12/31/2023,91214,2014,Battery Electric,OTHER/UNK,Light,11,91214,34.2375495,-118.2478097
12/31/2023,90660,2014,Battery Electric,OTHER/UNK,Light,5,90660,33.9887026,-118.0910637
12/31/2023,91745,2016,Battery Electric,OTHER/UNK,Light,20,91745,33.9992497,-117.9722519
12/31/2023,91504,2020,Battery Electric,OTHER/UNK,Light,18,91504,34.2135059,-118.3148031
12/31/2023,91203,2023,Battery Electric,OTHER/UNK,Light,68,91203,34.1529081,-118.2635168
12/31/2023,90065,2019,Battery Electric,OTHER/UNK,Light,31,90065,34.1086636,-118.2281108
12/31/2023,91104,2019,Battery Electric,OTHER/UNK,Light,16,91104,34.1676428,-118.1234329
12/31/2023,90016,2022,Battery Electric,OTHER/UNK,Light,58,90016,34.0287688,-118.3542922
